policy	rating_test_family	rating_dimension	rating_timepoint	rating_contrast	n	pearson_r	pearson_p	spearman_rho	spearman_p	age_group_adjusted_standardized_beta	age_group_adjusted_t	age_group_adjusted_df	age_group_adjusted_p	rating_by_age_group_interaction_beta	rating_by_age_group_interaction_t	rating_by_age_group_interaction_df	rating_by_age_group_interaction_p	younger_n	younger_pearson_r	younger_pearson_p	younger_spearman_rho	younger_spearman_p	older_n	older_pearson_r	older_pearson_p	older_spearman_rho	older_spearman_p	pearson_p_fdr_bh	spearman_p_fdr_bh	age_group_adjusted_p_fdr_bh	rating_by_age_group_interaction_p_fdr_bh
first_complete_block	partner_contrasts	likeability	post	similar_minus_dissimilar	42	0.11248412	0.47817767	0.12042492	0.4474573	0.10476283	0.66306212	39	0.51119104	0.49712631	1.4924584	38	0.1438356	21	-0.23629756	0.30242728	-0.38405194	0.085648621	21	0.26562396	0.24452092	0.52470531	0.014602261	0.74547958	0.70600232	0.81790566	0.23013695
first_complete_block	partner_contrasts	satisfaction	post	similar_minus_dissimilar	42	-0.14678196	0.35362247	-0.10888313	0.49246531	-0.18432158	-1.1547667	39	0.2552127	0.54576628	1.734341	38	0.090964161	21	-0.56975866	0.0070113735	-0.54580813	0.010483573	21	0.044056141	0.84960719	0.17165741	0.45686767	0.70724495	0.70600232	0.5104254	0.22505212
first_complete_block	partner_contrasts	fairness	pre	similar_minus_dissimilar	42	0.092742751	0.55910968	0.071984524	0.65053231	0.062383019	0.37756194	39	0.70780306	0.41133441	1.0971003	38	0.27950135	21	-0.21757014	0.34343666	-0.20987923	0.36117789	21	0.16906294	0.4638008	0.17618482	0.44489847	0.74547958	0.74346549	0.94373741	0.37266847
first_complete_block	partner_contrasts	likeability	pre	similar_minus_dissimilar	42	-0.38997589	0.010678888	-0.43638266	0.0038633039	-0.38392509	-2.6156423	39	0.012600394	-0.60566439	-2.1535012	38	0.037688073	21	-0.079583071	0.73166727	-0.069010912	0.76628538	21	-0.58590511	0.0052550326	-0.7182465	0.00024541281	0.060880724	0.015453216	0.050401576	0.15075229
first_complete_block	change_in_partner_contrast	fairness	post-minus-pre	post_minus_pre_of_similar_minus_dissimilar	41	-0.020538492	0.89857884	-0.10107056	0.52950174	-0.035654245	-0.21942346	38	0.8274946	0.28469637	0.82749044	37	0.41326451	20	-0.23904908	0.31008772	-0.24675209	0.29427816	21	0.059451772	0.7979618	0.029657994	0.89845342	0.89857884	0.70600232	0.94570812	0.4723023
first_complete_block	change_in_partner_contrast	likeability	post-minus-pre	post_minus_pre_of_similar_minus_dissimilar	41	0.31422102	0.045417062	0.31876568	0.042223903	0.30799134	2.0041336	38	0.052221453	0.69460773	2.1557966	37	0.037672295	20	-0.18243163	0.44140615	-0.26660569	0.25585513	21	0.51498534	0.016895696	0.67556221	0.00077696021	0.12111217	0.11259708	0.13925721	0.15075229
exclude_ambiguous_sessions	partner_contrasts	anger	post	similar_minus_dissimilar	39	0.37489885	0.018694991	0.45792626	0.003374661	0.39736694	2.567444	36	0.014544579	0.21806406	0.69624621	35	0.4908728	20	0.33625256	0.1471853	0.36631151	0.11217255	19	0.43528178	0.062509037	0.48765082	0.034179517	0.074779963	0.026997288	0.067818211	0.4908728
exclude_ambiguous_sessions	partner_contrasts	fairness	post	similar_minus_dissimilar	39	0.033698379	0.83862151	-0.090165391	0.58515085	0.010118628	0.057676159	36	0.95432554	0.54760158	1.5671106	35	0.12608665	20	-0.34539957	0.13581348	-0.38623228	0.092555879	19	0.20572035	0.39815025	0.15153123	0.53574461	0.90797635	0.66874383	0.95432554	0.25217329
exclude_ambiguous_sessions	partner_contrasts	likeability	post	similar_minus_dissimilar	39	0.11496998	0.48583809	0.1133559	0.49202288	0.11092362	0.67055536	36	0.50678319	0.49323927	1.4110027	35	0.16707125	20	-0.2308194	0.32753257	-0.37990581	0.098490213	19	0.26609613	0.2708331	0.52825237	0.020073495	0.74548737	0.66874383	0.8108531	0.267314
exclude_ambiguous_sessions	partner_contrasts	satisfaction	post	similar_minus_dissimilar	39	-0.15148307	0.35728001	-0.12596137	0.44481594	-0.17712699	-1.055464	36	0.29824523	0.56678845	1.7154836	35	0.095098208	20	-0.58270424	0.0070133871	-0.55008566	0.011973769	19	0.057909794	0.81383372	0.17503108	0.47355338	0.71456002	0.66874383	0.59649047	0.25217329
exclude_ambiguous_sessions	partner_contrasts	fairness	pre	similar_minus_dissimilar	41	0.093932609	0.55911553	0.067104503	0.67678011	0.068756065	0.40955419	38	0.68443257	0.42300595	1.1118324	37	0.27338261	21	-0.21757014	0.34343666	-0.20987923	0.36117789	20	0.17850754	0.45145794	0.19046666	0.42119477	0.74548737	0.67678011	0.91257676	0.36451015
exclude_ambiguous_sessions	partner_contrasts	likeability	pre	similar_minus_dissimilar	41	-0.37661021	0.015223651	-0.40743481	0.0081934415	-0.37350537	-2.4975231	38	0.016954553	-0.60228808	-2.1011388	37	0.042499612	21	-0.079583071	0.73166727	-0.069010912	0.76628538	20	-0.5760329	0.0078585882	-0.72047059	0.00033960713	0.074779963	0.032773766	0.067818211	0.17801696
exclude_ambiguous_sessions	change_in_partner_contrast	fairness	post-minus-pre	post_minus_pre_of_similar_minus_dissimilar	39	-0.019130179	0.90797635	-0.10435497	0.52724107	-0.0301014	-0.17954707	36	0.85851495	0.29842372	0.84108168	35	0.40601202	20	-0.23904908	0.31008772	-0.24675209	0.29427816	19	0.069525436	0.77731303	0.045788007	0.85234087	0.90797635	0.66874383	0.95432554	0.46401373
exclude_ambiguous_sessions	change_in_partner_contrast	likeability	post-minus-pre	post_minus_pre_of_similar_minus_dissimilar	39	0.30527406	0.058784888	0.28776187	0.075668429	0.30212415	1.9050205	36	0.064790123	0.69170293	2.0842243	35	0.044504241	20	-0.18243163	0.44140615	-0.26660569	0.25585513	19	0.51073383	0.025446298	0.66213603	0.0020117486	0.1567597	0.20178248	0.17277366	0.17801696
