policy	age_group	timepoint	rating_dimension	partner	n	mean	sd	sem	median
first_complete_block	all	post	anger	similar	42	5	2.1640071	0.33391355	5
first_complete_block	all	post	fairness	computer	42	5.452381	2.2867847	0.35285855	5
first_complete_block	all	post	fairness	dissimilar	42	6.2380952	2.2932512	0.35385635	6
first_complete_block	all	post	fairness	similar	42	6.3333333	2.2917313	0.35362182	6
first_complete_block	all	post	likeability	computer	42	5.047619	2.3053742	0.35572696	5
first_complete_block	all	post	likeability	dissimilar	42	6.3095238	2.1695014	0.33476133	6
first_complete_block	all	post	likeability	similar	42	6.1428571	2.1250128	0.3278966	6
first_complete_block	all	post	satisfaction	computer	42	5.1190476	1.9153091	0.29553861	5
first_complete_block	all	post	satisfaction	dissimilar	42	5.7380952	2.0369696	0.31431123	6
first_complete_block	all	post	satisfaction	similar	42	5.7619048	2.0339739	0.31384899	5
first_complete_block	all	pre	fairness	computer	42	5.1666667	2.2077101	0.34065706	5
first_complete_block	all	pre	fairness	dissimilar	42	6.3333333	2.020223	0.31172717	5.5
first_complete_block	all	pre	fairness	similar	42	6.3571429	2.2720081	0.35057846	6
first_complete_block	all	pre	likeability	computer	42	4.9761905	2.3837672	0.36782327	5
first_complete_block	all	pre	likeability	dissimilar	42	6.7857143	1.7184184	0.26515771	7
first_complete_block	all	pre	likeability	similar	42	6.6904762	1.7598239	0.27154673	6
first_complete_block	older	post	anger	computer	21	5.0952381	2.1887156	0.47761691	5
first_complete_block	older	post	anger	dissimilar	21	5.3333333	1.4605935	0.31872763	5
first_complete_block	older	post	anger	similar	21	5.2857143	1.820518	0.39726959	5
first_complete_block	older	post	fairness	computer	21	5.7619048	2.7911425	0.60907722	5
first_complete_block	older	post	fairness	dissimilar	21	6.6666667	2.5166115	0.54916965	7
first_complete_block	older	post	fairness	similar	21	7.2857143	2.4524041	0.53515844	8
first_complete_block	older	post	likeability	computer	21	5.6190476	2.8013602	0.61130692	5
first_complete_block	older	post	likeability	dissimilar	21	7.0952381	2.2114421	0.48257623	7
first_complete_block	older	post	likeability	similar	21	7	2.32379	0.50709255	8
first_complete_block	older	post	satisfaction	computer	21	5.2857143	2.1010202	0.45848019	5
first_complete_block	older	post	satisfaction	dissimilar	21	6.047619	2.1789032	0.47547565	6
first_complete_block	older	post	satisfaction	similar	21	6.3809524	2.2017309	0.48045708	7
first_complete_block	older	pre	fairness	computer	21	5.3809524	2.4181851	0.52769124	5
first_complete_block	older	pre	fairness	dissimilar	21	6.4761905	2.4211371	0.52833543	5
first_complete_block	older	pre	fairness	similar	21	6.8095238	2.8039088	0.61186307	8
first_complete_block	older	pre	likeability	computer	21	5.1904762	2.8916958	0.63101976	5
first_complete_block	older	pre	likeability	dissimilar	21	7.2380952	1.813967	0.39584005	8
first_complete_block	older	pre	likeability	similar	21	7.0952381	1.8948552	0.4134913	7
first_complete_block	younger	post	anger	computer	21	4.6666667	2.5948667	0.56624634	5
first_complete_block	younger	post	anger	dissimilar	21	4.3333333	2.5560386	0.55777335	5
first_complete_block	younger	post	anger	similar	21	4.7142857	2.4727082	0.53958916	5
first_complete_block	younger	post	fairness	computer	21	5.1428571	1.6518388	0.36046078	5
first_complete_block	younger	post	fairness	dissimilar	21	5.8095238	2.0154168	0.4398	6
first_complete_block	younger	post	fairness	similar	21	5.3809524	1.687489	0.36824028	6
first_complete_block	younger	post	likeability	computer	21	4.4761905	1.536849	0.33536794	5
first_complete_block	younger	post	likeability	dissimilar	21	5.5238095	1.8606195	0.40602045	6
first_complete_block	younger	post	likeability	similar	21	5.2857143	1.5212777	0.33197	5
first_complete_block	younger	post	satisfaction	computer	21	4.952381	1.7457431	0.38095238	5
first_complete_block	younger	post	satisfaction	dissimilar	21	5.4285714	1.8860389	0.41156744	6
first_complete_block	younger	post	satisfaction	similar	21	5.1428571	1.6818357	0.36700665	5
first_complete_block	younger	pre	fairness	computer	21	4.952381	2.0118695	0.43902593	5
first_complete_block	younger	pre	fairness	dissimilar	21	6.1904762	1.5690458	0.34239387	6
first_complete_block	younger	pre	fairness	similar	21	5.9047619	1.5134319	0.33025792	5
first_complete_block	younger	pre	likeability	computer	21	4.7619048	1.7861904	0.3897787	5
first_complete_block	younger	pre	likeability	dissimilar	21	6.3333333	1.5275252	0.33333333	6
first_complete_block	younger	pre	likeability	similar	21	6.2857143	1.5537972	0.33906635	6
exclude_ambiguous_sessions	all	post	anger	computer	39	4.8974359	2.4686974	0.39530796	5
exclude_ambiguous_sessions	all	post	anger	dissimilar	39	4.8461538	2.1949519	0.35147359	5
exclude_ambiguous_sessions	all	post	anger	similar	39	5	2.2478059	0.35993702	5
exclude_ambiguous_sessions	all	post	fairness	computer	39	5.4871795	2.3716727	0.37977157	5
exclude_ambiguous_sessions	all	post	fairness	dissimilar	39	6.3333333	2.3545402	0.37702818	6
exclude_ambiguous_sessions	all	post	fairness	similar	39	6.4102564	2.358835	0.37771589	6
exclude_ambiguous_sessions	all	post	likeability	computer	39	5.0512821	2.3946071	0.38344401	5
exclude_ambiguous_sessions	all	post	likeability	dissimilar	39	6.4102564	2.2209285	0.35563319	6
exclude_ambiguous_sessions	all	post	likeability	similar	39	6.2307692	2.1820022	0.34939998	6
exclude_ambiguous_sessions	all	post	satisfaction	computer	39	5.1282051	1.9891745	0.31852284	5
exclude_ambiguous_sessions	all	post	satisfaction	dissimilar	39	5.7948718	2.1048751	0.33704977	6
exclude_ambiguous_sessions	all	post	satisfaction	similar	39	5.8205128	2.1010247	0.33643321	6
exclude_ambiguous_sessions	all	pre	fairness	computer	41	5.1707317	2.2349769	0.34904476	5
exclude_ambiguous_sessions	all	pre	fairness	dissimilar	41	6.2439024	1.9593428	0.30599794	5
exclude_ambiguous_sessions	all	pre	fairness	similar	41	6.2682927	2.2251336	0.34750748	6
exclude_ambiguous_sessions	all	pre	likeability	computer	41	4.9756098	2.4133774	0.37690622	5
exclude_ambiguous_sessions	all	pre	likeability	dissimilar	41	6.7073171	1.6619853	0.2595585	7
exclude_ambiguous_sessions	all	pre	likeability	similar	41	6.6341463	1.74293	0.27219993	6
exclude_ambiguous_sessions	older	post	anger	computer	19	5.1578947	2.2916069	0.52573067	5
exclude_ambiguous_sessions	older	post	anger	dissimilar	19	5.4210526	1.5024347	0.34468215	5
exclude_ambiguous_sessions	older	post	anger	similar	19	5.3157895	1.9163806	0.43964786	5
exclude_ambiguous_sessions	older	post	fairness	computer	19	5.8421053	2.9299821	0.672184	5
exclude_ambiguous_sessions	older	post	fairness	dissimilar	19	6.8421053	2.587645	0.59364647	8
exclude_ambiguous_sessions	older	post	fairness	similar	19	7.4736842	2.5026302	0.57414274	8
exclude_ambiguous_sessions	older	post	likeability	computer	19	5.6842105	2.9449133	0.67560946	5
exclude_ambiguous_sessions	older	post	likeability	dissimilar	19	7.3157895	2.2124052	0.50756057	8
exclude_ambiguous_sessions	older	post	likeability	similar	19	7.2105263	2.3470773	0.53845647	8
exclude_ambiguous_sessions	older	post	satisfaction	computer	19	5.3157895	2.2124052	0.50756057	5
exclude_ambiguous_sessions	older	post	satisfaction	dissimilar	19	6.1578947	2.2672342	0.5201392	6
exclude_ambiguous_sessions	older	post	satisfaction	similar	19	6.5263158	2.2698121	0.5207306	7
exclude_ambiguous_sessions	older	pre	fairness	computer	20	5.4	2.4793887	0.55440817	5
exclude_ambiguous_sessions	older	pre	fairness	dissimilar	20	6.3	2.3418391	0.52365115	5
exclude_ambiguous_sessions	older	pre	fairness	similar	20	6.65	2.7772573	0.6210136	7
exclude_ambiguous_sessions	older	pre	likeability	computer	20	5.2	2.9664794	0.66332496	5
exclude_ambiguous_sessions	older	pre	likeability	dissimilar	20	7.1	1.7441632	0.39000675	7.5
exclude_ambiguous_sessions	older	pre	likeability	similar	20	7	1.8918106	0.42302171	7
exclude_ambiguous_sessions	younger	post	anger	computer	20	4.65	2.6611236	0.59504533	5
exclude_ambiguous_sessions	younger	post	anger	dissimilar	20	4.3	2.6177532	0.5853474	5
exclude_ambiguous_sessions	younger	post	anger	similar	20	4.7	2.5360558	0.56707931	4.5
exclude_ambiguous_sessions	younger	post	fairness	computer	20	5.15	1.6944181	0.3788834	5
exclude_ambiguous_sessions	younger	post	fairness	dissimilar	20	5.85	2.0589982	0.460406	6
exclude_ambiguous_sessions	younger	post	fairness	similar	20	5.4	1.7290095	0.38661827	6
exclude_ambiguous_sessions	younger	post	likeability	computer	20	4.45	1.5719582	0.35150054	5
exclude_ambiguous_sessions	younger	post	likeability	dissimilar	20	5.55	1.9049796	0.42596639	6
exclude_ambiguous_sessions	younger	post	likeability	similar	20	5.3	1.5593521	0.34868173	5
exclude_ambiguous_sessions	younger	post	satisfaction	computer	20	4.95	1.7910597	0.40049312	5
exclude_ambiguous_sessions	younger	post	satisfaction	dissimilar	20	5.45	1.9324105	0.43210013	6
exclude_ambiguous_sessions	younger	post	satisfaction	similar	20	5.15	1.7252002	0.3857665	5
exclude_ambiguous_sessions	younger	pre	fairness	computer	21	4.952381	2.0118695	0.43902593	5
exclude_ambiguous_sessions	younger	pre	fairness	dissimilar	21	6.1904762	1.5690458	0.34239387	6
exclude_ambiguous_sessions	younger	pre	fairness	similar	21	5.9047619	1.5134319	0.33025792	5
exclude_ambiguous_sessions	younger	pre	likeability	computer	21	4.7619048	1.7861904	0.3897787	5
exclude_ambiguous_sessions	younger	pre	likeability	dissimilar	21	6.3333333	1.5275252	0.33333333	6
exclude_ambiguous_sessions	younger	pre	likeability	similar	21	6.2857143	1.5537972	0.33906635	6
